|  Clínicas  |  Geriátricos  |  CATEGORÍA| Subcategoria| subtitulo| DATO A INSPECCIONAR| Tipo de dato
|  TRUE  |  TRUE  |  TIPOLOGÍA| | | N° Expt. Digital| ALFANUMÉRICO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | | FECHA Y HORA| FECHA
|  TRUE  |  TRUE  |  TIPOLOGÍA| | | FORMATO INSPECCIÓN| VIRTUAL/PRESENCIAL
|  TRUE  |  TRUE  |  TIPOLOGÍA| | | Nombre Establecimiento| STRING
|  TRUE  |  TRUE  |  TIPOLOGÍA| | | Razón Social| STRING
|  TRUE  |  TRUE  |  TIPOLOGÍA| | | Dirección| STRING
|  TRUE  |  TRUE  |  TIPOLOGÍA| | | Localidad| STRING
|  TRUE  |  TRUE  |  TIPOLOGÍA| | | Email| STRING
|  TRUE  |  TRUE  |  TIPOLOGÍA| | | Teléfono| NÚMERO
|  TRUE  |  TRUE  |  TIPOLOGÍA| | | Nombre Inspector| STRING
|  TRUE  |  TRUE  |  TIPOLOGÍA| | | DNI Inspector| NÚMERO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | | Radiofísica| TRUE/FALSE
|  TRUE  |  FALSE  |  TIPOLOGÍA| | | Tipo de Inspección| HABILITACIÓN/RUTINA/DENUNCIA
|  TRUE  |  FALSE  |  TIPOLOGÍA| | | Fecha de Habilitación| FECHA
|  TRUE  |  FALSE  |  TIPOLOGÍA| | | Resolución Nº| NÚMERO
|  TRUE  |  TRUE  |  TIPOLOGÍA| | | DIRECTOR TÉCNICO| STRING
|  TRUE  |  TRUE  |  TIPOLOGÍA| | | DNI DT| NÚMERO
|  TRUE  |  TRUE  |  TIPOLOGÍA| | | MATRÍCULA DT| NÚMERO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | REGISTROS| Registro de Historia Clínicas| SI/NO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | REGISTROS| Tipo de Registros| MANUAL/DIGITAL/MIXTA
|  TRUE  |  FALSE  |  TIPOLOGÍA| | REVISIÓN| Revision de Historias Clínicas| SI/NO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | REVISIÓN| Completitud Historias Clínicas| COMPLETAS/INCOMPLETAS
|  TRUE  |  FALSE  |  TIPOLOGÍA| | REVISIÓN| Reglamento Interno/ Manual Procedimientos de la Institución/ Manual Procedimientos de los servicios| SI/NO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | REVISIÓN| Aditamento privado/ Denominación correcta| SI/NO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | DATOS| Cantidad de Plantas| NÚMERO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | DATOS| Fecha ultima inspección del conservador responsable| FECHA
|  TRUE  |  FALSE  |  TIPOLOGÍA| | DATOS| Posee Montacamillas/Ascensores| MONTACAMILLAS/ASCENSORES/AMBOS/NO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | DATOS| Baño para público discapacitado mixtos| SI/NO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | DATOS| Libre ingreso , circulación y giro de camillas| SI/NO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | DATOS| Luces autónomas de emergencia| SI/NO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | DATOS| Equipo Electrógenos| SI/NO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | DATOS| CONSULTORIOS EXTERNOS| SI/NO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | DATOS| Cantidad total de consultorios| NÚMERO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | DATOS| Cantidad de consultorios con baño privada y vestuario| NÚMERO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | DATOS| Consultorio con lavabo| SI/NO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | DATOS| Plan Evacuacion vigente| SI/NO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | DATOS| Extinguidores de Incendios(vigente o no)| VIGENTE/NO VIGENTE
|  TRUE  |  FALSE  |  TIPOLOGÍA| | DATOS| Salida de Emergencia| SI/NO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | DATOS| Habilitación Bomberos| SI/NO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | DATOS| Silla de Ruedas| SI/NO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | DATOS| Todas las camas tipo Ortopedia| SI/NO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | DATOS| Posee planos inclinados| SI/NO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | DATOS| CONSULTORIOS SALUD MENTAL| SI/NO
|  TRUE  |  FALSE  |  TIPOLOGÍA| | DATOS| FECHA VENCIMIENTO PLAN EVACUACION| FECHA
